	An_1	C24	Cvi_0	Ler_3	Sha	TAIR10
Number of genes	25056	24176	24539	23169	26732	27416
Number of genes in orthogroups	24674	23132	23474	22542	26109	27042
Number of unassigned genes	382	1044	1065	627	623	374
Percentage of genes in orthogroups	98.5	95.7	95.7	97.3	97.7	98.6
Percentage of unassigned genes	1.5	4.3	4.3	2.7	2.3	1.4
Number of orthogroups containing species	21152	19745	20030	19437	22045	22115
Percentage of orthogroups containing species	89.3	83.4	84.6	82.1	93.1	93.4
Number of species-specific orthogroups	11	36	47	12	26	77
Number of genes in species-specific orthogroups	22	86	120	27	72	217
Percentage of genes in species-specific orthogroups	0.1	0.4	0.5	0.1	0.3	0.8


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	2525	3932	3647	4240	1632	1562
'1	18576	17285	17526	17153	19172	18903
'2	2032	1897	1940	1802	2236	2402
'3	349	376	391	320	389	454
'4	110	107	92	82	137	163
'5	39	43	36	41	55	82
'6	19	18	18	19	20	43
'7	7	5	8	6	10	18
'8	6	3	5	6	3	16
'9	7	2	8	5	6	11
'10	5	6	2	0	7	6
11-15	1	3	4	1	7	14
16-20	1	0	0	2	2	1
21-50	0	0	0	0	1	2
51-100	0	0	0	0	0	0
101-150	0	0	0	0	0	0
151-200	0	0	0	0	0	0
201-500	0	0	0	0	0	0
501-1000	0	0	0	0	0	0
'1001+	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	10.7	16.6	15.4	17.9	6.9	6.6
'1	78.5	73.0	74.0	72.4	81.0	79.8
'2	8.6	8.0	8.2	7.6	9.4	10.1
'3	1.5	1.6	1.7	1.4	1.6	1.9
'4	0.5	0.5	0.4	0.3	0.6	0.7
'5	0.2	0.2	0.2	0.2	0.2	0.3
'6	0.1	0.1	0.1	0.1	0.1	0.2
'7	0.0	0.0	0.0	0.0	0.0	0.1
'8	0.0	0.0	0.0	0.0	0.0	0.1
'9	0.0	0.0	0.0	0.0	0.0	0.0
'10	0.0	0.0	0.0	0.0	0.0	0.0
11-15	0.0	0.0	0.0	0.0	0.0	0.1
16-20	0.0	0.0	0.0	0.0	0.0	0.0
21-50	0.0	0.0	0.0	0.0	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0
'1	18576	17285	17526	17153	19172	18903
'2	4064	3794	3880	3604	4472	4804
'3	1047	1128	1173	960	1167	1362
'4	440	428	368	328	548	652
'5	195	215	180	205	275	410
'6	114	108	108	114	120	258
'7	49	35	56	42	70	126
'8	48	24	40	48	24	128
'9	63	18	72	45	54	99
'10	50	60	20	0	70	60
11-15	11	37	51	11	79	167
16-20	17	0	0	32	37	20
21-50	0	0	0	0	21	53
51-100	0	0	0	0	0	0
101-150	0	0	0	0	0	0
151-200	0	0	0	0	0	0
201-500	0	0	0	0	0	0
501-1000	0	0	0	0	0	0
'1001+	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0
'1	74.1	71.5	71.4	74.0	71.7	68.9
'2	16.2	15.7	15.8	15.6	16.7	17.5
'3	4.2	4.7	4.8	4.1	4.4	5.0
'4	1.8	1.8	1.5	1.4	2.0	2.4
'5	0.8	0.9	0.7	0.9	1.0	1.5
'6	0.5	0.4	0.4	0.5	0.4	0.9
'7	0.2	0.1	0.2	0.2	0.3	0.5
'8	0.2	0.1	0.2	0.2	0.1	0.5
'9	0.3	0.1	0.3	0.2	0.2	0.4
'10	0.2	0.2	0.1	0.0	0.3	0.2
11-15	0.0	0.2	0.2	0.0	0.3	0.6
16-20	0.1	0.0	0.0	0.1	0.1	0.1
21-50	0.0	0.0	0.0	0.0	0.1	0.2
51-100	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0
