Rname	Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[
TE_00000460	DNA	Helitron	0	12870	42	0	2620	5221	14339	453	121	3002	318	1213	3313	2586	207	78	245	0	4910	398	4397	3420	16440	1844	3591	5387	14361	8340	8894	4872	5117	661	4132	1679	1668	372	0	261	331	0	0	0	0	0	0	0	0	0	0	0
TE_00000471_LTR	LTR	Gypsy	518	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	251	628	216	249	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001227_INT	LTR	Gypsy	0	0	0	0	0	461	0	0	0	0	744	0	0	1935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000148	DNA	Helitron	11582	1185	0	0	41	3135	19667	7601	2678	2159	284	1486	310	2698	4089	9690	14620	13039	8220	8186	5908	3241	8033	2147	7240	2556	1978	279	0	0	0	246	409	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000618	DNA	Helitron	546	2201	0	0	0	72	559	456	2449	0	1003	1298	340	296	0	357	11	122	316	254	30	110	172	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000704	DNAnona	hAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001084_LTR	LTR	Copia	160	156	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000977_INT	LTR	Copia	5282	0	0	111	67	0	0	649	0	32	0	0	140	227	227	540	641	894	1251	1157	1518	1292	75	1615	700	342	207	386	962	0	408	606	0	0	0	620	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000192	DNA	Helitron	3697	0	0	0	0	0	0	0	37	0	160	0	303	274	0	0	0	97	82	0	0	0	98	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000720_INT	LTR	Gypsy	499	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	69	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000197	DNA	Helitron	12086	0	0	3286	17222	3537	6271	8136	8063	13408	11583	4080	1187	2420	2058	127	5324	1478	2885	4089	4883	8786	16583	8676	12047	8634	5237	4012	3031	2316	4255	1215	2742	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000128	DNA	Helitron	3577	0	0	0	0	0	0	0	0	116	1060	0	166	352	0	112	0	0	49	0	0	66	246	99	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000280	DNAauto	hAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001520	DNAauto	PILE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000305_INT	LTR	Copia	4084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	768	0	0	0	2306	0	0	1613	176	2156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000133	DNA	Helitron	1328	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000271_LTR	LTR	Copia	708	0	0	0	0	0	0	0	0	0	0	71	0	0	93	0	102	0	0	149	0	0	0	0	0	0	185	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00001752	DNA	Helitron	1743	1743	1162	428	0	0	45	52	1995	0	0	0	0	62	870	174	462	263	185	0	0	0	177	0	0	0	0	233	595	131	0	0	112	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000360_LTR	LTR	unknown	4435	0	0	0	0	0	0	498	0	114	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000217	DNA	Helitron	1623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000674	DNAauto	hAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	70	0	0	0	0	0	488	0	0	92	0	0	645	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000928	DNAauto	MULE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
