Rname	Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[
TE_00000791	DNA	DTC	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000760_LTR	LTR	Gypsy	453	453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000135	DNA	DTC	1700	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000430_LTR	LTR	Copia	3800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000365	DNA	Helitron	0	0	1070	0	0	680	821	0	994	267	0	0	0	600	0	1628	0	956	0	206	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000547_LTR	LTR	Copia	286	0	0	574	289	578	0	0	0	0	0	0	305	0	582	143	0	0	0	295	66	0	308	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000166	DNA	DTM	2632	0	0	0	0	0	0	0	0	0	165	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000182	DNA	Helitron	5355	1520	713	0	0	163	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000740	MITE	DTM	557	0	0	0	0	0	0	580	0	0	0	243	0	0	0	0	0	304	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000384_LTR	LTR	unknown	0	0	119	119	0	119	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000335_LTR	LTR	unknown	498	0	291	440	0	35	294	0	626	0	607	1628	208	222	284	0	0	146	211	93	0	521	194	0	78	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000508	DNA	Helitron	1226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000210	DNA	Helitron	3678	176	0	0	0	0	0	78	0	0	0	76	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000417_LTR	LTR	Copia	432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000935	DNA	DTM	1011	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	882	1652	431	708	1290	539	599	206	317	0	458	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000114	DNA	DTC	1536	253	73	0	0	0	0	0	0	13	0	0	150	0	112	79	0	88	533	540	0	71	0	502	78	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000406_INT	LTR	Gypsy	4225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000769	DNA	Helitron	2339	0	6262	0	2039	1719	0	403	0	0	0	0	0	0	1180	41	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000477_LTR	LTR	Gypsy	795	184	0	0	0	0	0	0	0	0	0	0	0	264	242	0	90	0	0	0	0	0	0	147	0	1095	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000532_INT	LTR	Gypsy	4316	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	243	55	139	306	928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000868	DNA	Helitron	436	0	21	1217	1313	2840	5465	2703	203	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000758	DNA	DTM	1123	0	0	0	0	0	0	0	408	0	0	0	0	0	0	955	582	553	0	559	263	0	212	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000341	DNA	DTM	1074	1789	5404	2473	39	508	61	631	137	526	0	0	0	73	44	0	0	109	112	66	123	87	0	0	0	0	0	111	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000816	DNA	Helitron	49	11097	0	883	12160	0	3356	0	3776	284	0	3550	700	2832	1359	0	702	2160	1700	690	1411	308	641	604	205	1779	0	0	222	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000082	DNA	DTM	2299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000276	DNA	DTT	943	267	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000714_LTR	LTR	Gypsy	372	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	283	0	0	362	395	262	0	616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000058	DNA	Helitron	1000	0	85	0	0	0	0	0	0	0	0	0	0	52	0	0	0	130	141	307	0	267	136	103	472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000480_LTR	LTR	Copia	405	204	203	206	0	0	0	0	85	189	0	110	344	136	171	0	0	202	449	97	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000591_INT	LTR	Copia	0	0	0	0	0	0	0	0	0	0	4079	0	4071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000175	DNA	Helitron	0	990	0	0	1130	0	0	0	0	0	0	0	123	0	63	84	0	105	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
