#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_523	18993639	44	N	N	1	*	523
contig_580	13850397	44	N	N	1	*	1,580
scaffold_527	13744773	42	N	N	1	*	-653,-527,638,639,639,639,638,639,639,639,638,639,639,639,638,639,637,639,??,599,??,-478,-478,-478,-478,-478,-478,-478,-478,-478,-478,-478,-478,-478,-478,-478,-478,-478,-478,-478,-478,-478,-479,-478,-478,-478,-478,-478,-478,-365,-680,-586,-586,-586,-586,-586,-586,-586,-586,-585,-679
scaffold_671	12883573	43	N	N	1	*	629,671,??,692,692,-630,-693,??,-693,-602,583,584,679
contig_529	8540291	43	N	N	1	*	-597,529,651,*
scaffold_640	7359637	45	N	N	1	*	*,640,669,-670,669,-670,669,-670,??,678,-676,485,486,487,488,486,487,486
scaffold_601	6819106	42	N	N	1	*	687,601,??,657,-658,657,-658,657,-658,657,-658,657,-658,657,-658,657,-658,657,-366,467
scaffold_530	6268289	43	N	N	1	*	518,530,??,-647,-647,-647,521,-691
contig_369	4468348	42	N	N	1	*	-488,-487,-486,-488,-488,-487,-486,-488,-487,-486,-488,-487,-486,-488,-487,-486,-488,-487,369,-680,-586,-586,-585
contig_509	3923137	43	N	N	1	*	497,497,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,482,509,-687
contig_464	2495179	44	N	N	1	*	381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,464
contig_652	2415863	45	N	N	1	*	*,-651,652,-467
contig_600	1971180	42	N	N	1	*	687,600,-582
contig_598	1946819	44	N	N	1	*	-597,598,597
contig_550	1246936	42	N	N	1	*	550,*
contig_526	1139341	43	N	N	1	*	526,597,597
contig_524	946495	42	N	N	1	*	524,-617
contig_373	902320	45	N	N	1	*	-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-491,-491,-490,-490,-490,-490,536,-576,-569,-569,-569,-569,-569,-568,-567,-567,-567,-566,-563,-562,-562,-562,-562,-562,-562,373,679
contig_525	644772	41	N	N	1	*	484,484,525
contig_522	597786	42	N	N	1	*	689,522,666
contig_515	593385	42	N	N	1	*	536,-576,-569,-569,-569,-569,-569,-568,-567,-567,-567,-567,-566,-566,-563,-562,-562,-562,-562,515,*
contig_512	563684	42	N	N	1	*	512,*
scaffold_477	555581	138	N	N	1	*	-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,-469,477,??,-690,622,-690,-374
contig_539	531255	47	N	N	1	*	-577,-571,-570,-570,-570,578,-516,-490,-490,539,583,584,679
contig_507	494173	41	N	N	1	*	689,507,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,588,588,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590
contig_528	400607	42	N	N	1	*	528,691
scaffold_531	390656	36	N	N	1	*	-534,482,482,482,482,482,482,482,482,482,482,531,??,-611,-610,-609,-611,-610,-609,-611,-610,-609,-611,-610,-610,-609,-611,-610,-609,-611,-610,-611,-609,-609,519,-537
contig_379	363034	40	N	N	1	*	-635,-632,-632,-632,-632,-634,-633,-632,-636,-635,-635,-632,-635,-632,-634,379,372,499,499,499,499,499,499,499
contig_378	345773	43	N	N	1	*	378,597,687
contig_533	333386	41	N	N	1	*	659,533,-649
contig_377	305425	45	N	N	1	*	-605,-605,377,620,618,619,-607,-606,-606,608
contig_380	256396	39	N	N	1	*	380,691
contig_565	230518	40	N	N	1	*	687,565,-691
contig_603	200067	39	N	N	1	*	586,586,586,586,586,586,586,586,586,586,586,586,586,586,586,586,586,680,603,612,613,616,615,617
contig_520	178967	43	N	N	1	*	-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,-481,520,659
contig_551	176528	40	N	N	1	*	-547,-544,-545,-542,-541,551,612,614,613,615,617
contig_684	160036	743	N	Y	22	*	684
